asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:FOUNT2,effects/ressources/FOUNT2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FOUNTN,effects/ressources/FOUNTN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FSEEDA,effects/ressources/FSEEDA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FSEEDX,effects/ressources/FSEEDX,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GARMORH,effects/ressources/GARMORH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GLDUSTH,effects/ressources/GLDUSTH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GLPHWRDH,effects/ressources/GLPHWRDH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GLPHWRDT,effects/ressources/GLPHWRDT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GREASED,effects/ressources/GREASED,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GREASEH,effects/ressources/GREASEH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:GRNDGLOW,effects/ressources/GRNDGLOW,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:HARPDISC,effects/ressources/HARPDISC,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:HDFBRER,effects/ressources/HDFBRER,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:HIHEDGE,effects/ressources/HIHEDGE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:HLYMITE,effects/ressources/HLYMITE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:JDPROP,effects/ressources/JDPROP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:LAVABUB1,effects/ressources/LAVABUB1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:LAVABUB2,effects/ressources/LAVABUB2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:LAVAFIR1,effects/ressources/LAVAFIR1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:MAGICSTN,effects/ressources/MAGICSTN,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:MINORGLB,effects/ressources/MINORGLB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:MMAGICH,effects/ressources/MMAGICH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:MSOLG1,effects/ressources/MSOLG1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:MSUMM1H,effects/ressources/MSUMM1H,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:MSUMM1X,effects/ressources/MSUMM1X,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHBENVLP,effects/ressources/OHBENVLP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHBGOLD,effects/ressources/OHBGOLD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHDLPORT,effects/ressources/OHDLPORT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHDSTREE,effects/ressources/OHDSTREE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHHNECR,effects/ressources/OHHNECR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHNPORTA,effects/ressources/OHNPORTA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHNVIS1,effects/ressources/OHNVIS1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHNVIS2,effects/ressources/OHNVIS2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHNVIS3,effects/ressources/OHNVIS3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHNVIS4,effects/ressources/OHNVIS4,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHNWAND1,effects/ressources/OHNWAND1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRDARK,effects/ressources/OHRDARK,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRFEAR,effects/ressources/OHRFEAR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRMIND,effects/ressources/OHRMIND,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRMJAR,effects/ressources/OHRMJAR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRPOLY,effects/ressources/OHRPOLY,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRSGATE,effects/ressources/OHRSGATE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRSGONE,effects/ressources/OHRSGONE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:OHRSHFIE,effects/ressources/OHRSHFIE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:PARALH,effects/ressources/PARALH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:PRAYERB,effects/ressources/PRAYERB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:PRAYERG,effects/ressources/PRAYERG,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:RIPPLE_1,effects/ressources/RIPPLE_1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:RIPPLE_2,effects/ressources/RIPPLE_2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:RIPPLE_3,effects/ressources/RIPPLE_3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SANCTRY,effects/ressources/SANCTRY,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SARMORH,effects/ressources/SARMORH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SETTRAP,effects/ressources/SETTRAP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHACID,effects/ressources/SHACID,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHAIR,effects/ressources/SHAIR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHAREA,effects/ressources/SHAREA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHAREAB,effects/ressources/SHAREAB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHAREAW,effects/ressources/SHAREAW,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHEARTH,effects/ressources/SHEARTH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHGLYPH,effects/ressources/SHGLYPH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHSKULL,effects/ressources/SHSKULL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SHWATER,effects/ressources/SHWATER,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SKLH,effects/ressources/SKLH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SKLT,effects/ressources/SKLT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SKYBOLT,effects/ressources/SKYBOLT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SNOWFAL1,effects/ressources/SNOWFAL1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SNOWFAL2,effects/ressources/SNOWFAL2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SP_DEMGT,effects/ressources/SP_DEMGT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPABJURA,effects/ressources/SPABJURA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPAGSCHO,effects/ressources/SPAGSCHO,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPALTERA,effects/ressources/SPALTERA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPANISUM,effects/ressources/SPANISUM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPARMOR2,effects/ressources/SPARMOR2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPARMORI,effects/ressources/SPARMORI,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPARMOUR,effects/ressources/SPARMOUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPATTCK1,effects/ressources/SPATTCK1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPATTCK2,effects/ressources/SPATTCK2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPAURAFB,effects/ressources/SPAURAFB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPAURAFD,effects/ressources/SPAURAFD,,blocked,,not-applicable,,not-assessed,,not-installed,,not-evaluated,,source BAM stock absent
effects:bam:SPAURAFF,effects/ressources/SPAURAFF,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBASERD,effects/ressources/SPBASERD,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBASEWT,effects/ressources/SPBASEWT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBDBUR,effects/ressources/SPBDBUR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBDBURS,effects/ressources/SPBDBURS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBDIMSP,effects/ressources/SPBDIMSP,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBDRAE2,effects/ressources/SPBDRAE2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBEHBLA,effects/ressources/SPBEHBLA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:SPBEHRAY,effects/ressources/SPBEHRAY,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
