asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:CHAMM07,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHAMM08,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHELM01,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHELM03,texture-page,MOS0045,PVRZ,yes,data/bgee.bif,0x0B000079,58890,865043A335644DECC849591CEE023344BA7DE76898B24A075388DDAE5F046A42,icons/dependencies/pvrz/MOS0045.pvrz
icon:CHELM03,texture-page,MOS0046,PVRZ,yes,data/bgee.bif,0x0B00007A,72489,9ADB3E9041970AD8BB0FB84A4C5854316EE66F44597317F775EA9FCD22B8C9BB,icons/dependencies/pvrz/MOS0046.pvrz
icon:CHELM04,texture-page,MOS0046,PVRZ,yes,data/bgee.bif,0x0B00007A,72489,9ADB3E9041970AD8BB0FB84A4C5854316EE66F44597317F775EA9FCD22B8C9BB,icons/dependencies/pvrz/MOS0046.pvrz
icon:CHELM05,texture-page,MOS0046,PVRZ,yes,data/bgee.bif,0x0B00007A,72489,9ADB3E9041970AD8BB0FB84A4C5854316EE66F44597317F775EA9FCD22B8C9BB,icons/dependencies/pvrz/MOS0046.pvrz
icon:CHELM07,texture-page,MOS0046,PVRZ,yes,data/bgee.bif,0x0B00007A,72489,9ADB3E9041970AD8BB0FB84A4C5854316EE66F44597317F775EA9FCD22B8C9BB,icons/dependencies/pvrz/MOS0046.pvrz
icon:CHELM16,texture-page,MOS0046,PVRZ,yes,data/bgee.bif,0x0B00007A,72489,9ADB3E9041970AD8BB0FB84A4C5854316EE66F44597317F775EA9FCD22B8C9BB,icons/dependencies/pvrz/MOS0046.pvrz
icon:CHELM16,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CHELM17,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CHELM18,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CHELM20,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CHELM21,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CKEY01,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CKEY02,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CKEY03,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CKEY04,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
icon:CKEY05,texture-page,MOS0047,PVRZ,yes,data/bgee.bif,0x0B00007B,63499,93F512F98643E2255C5AFE41E9F8BFBAA080B0272E23E15AD3B99575B5B62188,icons/dependencies/pvrz/MOS0047.pvrz
